participant_id,game,latency_ms,quality_rating,acceptable
21,feeding_frenzy,150,2.0,0
21,feeding_frenzy,0,4.0,1
21,feeding_frenzy,75,4.0,1
21,feeding_frenzy,225,2.0,0
22,dave_the_diver,225,3.0,1
22,dave_the_diver,0,4.0,1
22,dave_the_diver,75,3.0,1
22,dave_the_diver,150,3.0,1
22,rocket_league,225,2.0,1
22,rocket_league,0,2.0,1
22,rocket_league,150,3.0,1
22,rocket_league,75,3.0,1
22,half_life_2,225,2.0,0
22,half_life_2,75,3.0,1
22,half_life_2,0,4.0,1
22,half_life_2,150,2.0,0
22,fitts_law,150,2.0,1
22,fitts_law,225,1.0,1
22,fitts_law,0,5.0,1
22,fitts_law,75,3.0,1
22,feeding_frenzy,0,4.0,1
22,feeding_frenzy,150,2.0,0
22,feeding_frenzy,75,3.0,1
22,feeding_frenzy,225,3.0,1
23,rocket_league,0,3.0,1
23,rocket_league,75,3.5,1
23,rocket_league,225,4.0,1
23,rocket_league,150,4.5,1
23,half_life_2,225,1.5,0
23,half_life_2,75,4.0,1
23,half_life_2,150,2.5,0
23,half_life_2,0,3.5,1
23,fitts_law,225,2.0,0
23,fitts_law,75,3.0,1
23,fitts_law,150,2.0,0
23,fitts_law,0,4.0,1
23,feeding_frenzy,225,2.0,0
23,feeding_frenzy,0,4.0,1
23,feeding_frenzy,150,2.5,1
23,feeding_frenzy,75,3.0,1
24,dave_the_diver,75,5.0,1
24,dave_the_diver,150,5.0,1
24,dave_the_diver,0,5.0,1
24,dave_the_diver,225,5.0,1
24,rocket_league,0,5.0,1
24,rocket_league,150,5.0,1
24,rocket_league,225,5.0,1
24,rocket_league,75,5.0,1
24,half_life_2,225,1.0,0
24,half_life_2,75,5.0,1
24,half_life_2,150,5.0,1
24,half_life_2,0,5.0,1
24,fitts_law,0,5.0,1
24,fitts_law,75,3.0,0
24,fitts_law,225,1.0,0
24,fitts_law,150,2.0,0
24,feeding_frenzy,150,5.0,1
24,feeding_frenzy,225,1.0,0
24,feeding_frenzy,75,1.0,0
24,feeding_frenzy,0,1.0,0
25,dave_the_diver,150,4.0,1
25,dave_the_diver,225,5.0,1
25,dave_the_diver,75,4.0,1
25,dave_the_diver,0,4.0,1
25,rocket_league,225,5.0,1
25,rocket_league,75,5.0,1
25,rocket_league,150,5.0,1
25,rocket_league,0,4.0,1
25,half_life_2,225,3.0,1
25,half_life_2,150,4.0,1
25,half_life_2,75,4.0,1
25,half_life_2,0,4.0,1
25,fitts_law,75,3.0,1
25,fitts_law,0,4.0,1
25,fitts_law,225,3.0,1
25,fitts_law,150,3.0,1
25,feeding_frenzy,0,4.0,1
25,feeding_frenzy,150,5.0,1
25,feeding_frenzy,75,4.0,1
25,feeding_frenzy,225,4.0,1
26,rocket_league,0,4.5,1
26,rocket_league,225,3.0,0
26,rocket_league,150,4.0,1
26,rocket_league,75,3.5,1
26,half_life_2,0,4.0,1
26,half_life_2,75,5.0,1
26,half_life_2,225,2.0,0
26,half_life_2,150,4.0,1
26,fitts_law,75,4.0,1
26,fitts_law,150,2.0,0
26,fitts_law,225,3.0,0
26,fitts_law,0,5.0,1
26,feeding_frenzy,75,4.5,1
26,feeding_frenzy,150,4.3,1
26,feeding_frenzy,0,5.0,1
26,feeding_frenzy,225,3.0,0
27,dave_the_diver,225,3.0,0
27,dave_the_diver,75,4.0,1
27,dave_the_diver,150,3.0,0
27,dave_the_diver,0,5.0,1
27,rocket_league,150,4.0,1
27,rocket_league,75,5.0,1
27,rocket_league,0,5.0,1
27,rocket_league,225,4.0,1
27,half_life_2,0,5.0,1
27,half_life_2,225,2.5,0
27,half_life_2,150,2.0,0
27,half_life_2,75,3.5,1
27,fitts_law,150,2.0,0
27,fitts_law,225,2.0,0
27,fitts_law,75,3.5,1
27,fitts_law,0,5.0,1
27,feeding_frenzy,225,3.5,1
27,feeding_frenzy,150,3.5,1
27,feeding_frenzy,0,4.67,1
27,feeding_frenzy,75,4.0,1
3,dave_the_diver,150,3.0,1
3,dave_the_diver,225,1.0,1
3,dave_the_diver,75,4.0,1
3,dave_the_diver,0,4.0,1
3,rocket_league,0,4.0,1
3,rocket_league,150,3.0,1
3,rocket_league,75,3.0,1
3,rocket_league,225,2.0,1
3,half_life_2,0,5.0,1
3,half_life_2,150,1.0,1
3,half_life_2,225,1.0,1
3,half_life_2,75,4.0,1
3,fitts_law,150,1.0,1
3,fitts_law,0,4.0,1
3,fitts_law,225,1.0,1
3,fitts_law,75,3.0,1
3,feeding_frenzy,150,1.0,1
3,feeding_frenzy,225,1.0,1
3,feeding_frenzy,0,3.0,1
3,feeding_frenzy,75,3.0,1
4,dave_the_diver,225,5.0,1
4,dave_the_diver,75,5.0,1
4,dave_the_diver,0,5.0,1
4,rocket_league,150,3.8,1
4,rocket_league,75,4.0,1
