participant_id,session_timestamp,game,round_timestamp,latency_ms,has_qoe,has_kb,has_mouse,has_score_png,has_dump,has_score_txt,has_results,has_replay,has_replay_json,round_path,missing_qoe,missing_kb,missing_mouse,ff_missing_score_png,ff_missing_score_txt,hl2_missing_dump,hl2_missing_score_txt,fitts_missing_results,rl_missing_replay,rl_missing_replay_json,score_txt_without_png,replay_json_without_replay,hl2_score_without_dump
11,2026-01-28_17-03-17,fitts_law,2026-01-28_16-56-19,225,True,True,True,,,,True,,,../experiment/11/2026-01-28_17-03-17/fitts_law/2026-01-28_16-56-19_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,fitts_law,2026-01-28_16-55-35,150,True,True,True,,,,True,,,../experiment/11/2026-01-28_17-03-17/fitts_law/2026-01-28_16-55-35_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,feeding_frenzy,2026-01-28_17-05-16,225,True,True,True,True,,True,,,,../experiment/11/2026-01-28_17-03-17/feeding_frenzy/2026-01-28_17-05-16_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,feeding_frenzy,2026-01-28_17-06-54,75,True,True,True,True,,True,,,,../experiment/11/2026-01-28_17-03-17/feeding_frenzy/2026-01-28_17-06-54_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,feeding_frenzy,2026-01-28_17-04-23,150,True,True,True,True,,True,,,,../experiment/11/2026-01-28_17-03-17/feeding_frenzy/2026-01-28_17-04-23_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,feeding_frenzy,2026-01-28_17-06-04,0,True,True,True,True,,True,,,,../experiment/11/2026-01-28_17-03-17/feeding_frenzy/2026-01-28_17-06-04_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-01-28_17-17-45,dave_the_diver,2026-01-28_17-33-43,75,True,True,True,True,,True,,,,../experiment/12/2026-01-28_17-17-45/dave_the_diver/2026-01-28_17-33-43_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-01-28_17-17-45,dave_the_diver,2026-01-28_17-32-09,0,True,True,True,True,,True,,,,../experiment/12/2026-01-28_17-17-45/dave_the_diver/2026-01-28_17-32-09_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-01-28_17-17-45,dave_the_diver,2026-01-28_17-35-10,150,True,True,True,True,,True,,,,../experiment/12/2026-01-28_17-17-45/dave_the_diver/2026-01-28_17-35-10_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-01-28_17-17-45,dave_the_diver,2026-01-28_17-30-41,225,True,True,True,True,,True,,,,../experiment/12/2026-01-28_17-17-45/dave_the_diver/2026-01-28_17-30-41_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
