participant_id,game,latency_ms,score,mean_time_ms,median_time_ms,throughput,n_trials,goals,saves,assists,shots,quality_rating,acceptable,game_display,score_z,score_pct_of_baseline
15,feeding_frenzy,225,190.0,,,,,,,,,2.0,0.0,Feeding Frenzy,-0.8447028435000911,25.0
15,feeding_frenzy,75,310.0,,,,,,,,,4.0,1.0,Feeding Frenzy,-0.5105346856319232,40.78947368421053
15,feeding_frenzy,150,430.0,,,,,,,,,3.0,1.0,Feeding Frenzy,-0.17636652776375522,56.57894736842105
16,dave_the_diver,75,3.2,,,,,,,,,3.5,1.0,Dave the Diver,0.8308411746452086,91.42857142857143
16,dave_the_diver,225,2.0,,,,,,,,,3.0,1.0,Dave the Diver,-0.19298266892737123,57.14285714285714
16,dave_the_diver,150,3.0,,,,,,,,,5.0,1.0,Dave the Diver,0.6602038673831118,85.71428571428571
16,dave_the_diver,0,3.5,,,,,,,,,5.0,1.0,Dave the Diver,1.0867971355383532,100.0
16,rocket_league,225,42.0,,,,,0.0,0.0,0.0,1.0,1.5,0.0,Rocket League,-0.9951051608962701,100.0
16,rocket_league,75,28.0,,,,,0.0,0.0,0.0,1.0,4.0,1.0,Rocket League,-1.104109300508985,66.66666666666666
16,rocket_league,0,16.0,,,,,0.0,0.0,0.0,0.0,3.7,1.0,Rocket League,-1.1975414201770263,38.095238095238095
16,rocket_league,150,0.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,Rocket League,-1.322117579734415,0.0
16,half_life_2,225,12.0,,,,,,,,,2.5,0.0,Half-Life 2,-0.07203530397391118,85.71428571428571
16,half_life_2,0,14.0,,,,,,,,,4.6,1.0,Half-Life 2,0.5272984250890309,100.0
16,half_life_2,75,14.0,,,,,,,,,3.8,1.0,Half-Life 2,0.5272984250890309,100.0
16,half_life_2,150,13.0,,,,,,,,,2.0,0.0,Half-Life 2,0.22763156055755984,92.85714285714286
16,fitts_law,225,2.257830383873025,1704.9583333333333,1781.15,2.257830383873025,12.0,,,,,1.0,0.0,Fitts Law,-0.9732695533310868,45.34373430738846
16,fitts_law,75,3.8801288534281007,1055.7600000000002,1046.6,3.8801288534281007,20.0,,,,,3.0,1.0,Fitts Law,0.3993924294285921,77.92415810547885
16,fitts_law,0,4.979365767642845,735.3925925925926,747.1,4.979365767642845,27.0,,,,,5.0,1.0,Fitts Law,1.3294806656595373,100.0
16,fitts_law,150,2.8368741442642,1079.609523809524,1057.4,2.8368741442642,21.0,,,,,2.0,0.0,Fitts Law,-0.4833280467838005,56.972600058804936
16,feeding_frenzy,75,300.0,,,,,,,,,2.7,0.0,Feeding Frenzy,-0.5383820321209372,75.0
16,feeding_frenzy,225,120.0,,,,,,,,,1.5,0.0,Feeding Frenzy,-1.039634268923189,30.0
16,feeding_frenzy,150,200.0,,,,,,,,,3.0,1.0,Feeding Frenzy,-0.8168554970110771,50.0
16,feeding_frenzy,0,400.0,,,,,,,,,4.5,1.0,Feeding Frenzy,-0.2599085672307972,100.0
17,dave_the_diver,0,1.5,,,,,,,,,5.0,1.0,Dave the Diver,-0.6195759370826127,44.11764705882353
17,dave_the_diver,75,3.4,,,,,,,,,4.0,1.0,Dave the Diver,1.0014784819073048,100.0
17,dave_the_diver,150,1.3,,,,,,,,,3.0,1.0,Dave the Diver,-0.7902132443447093,38.235294117647065
17,dave_the_diver,225,3.4,,,,,,,,,3.0,1.0,Dave the Diver,1.0014784819073048,100.0
17,rocket_league,0,280.0,,,,,2.0,0.0,0.0,3.0,5.0,1.0,Rocket League,0.8579652125198836,98.59154929577466
17,rocket_league,150,244.0,,,,,2.0,0.0,0.0,3.0,1.3,0.0,Rocket League,0.5776688535157595,85.91549295774648
17,rocket_league,225,284.0,,,,,2.0,0.0,0.0,3.0,1.0,0.0,Rocket League,0.8891092524092307,100.0
17,rocket_league,75,280.0,,,,,2.0,0.0,0.0,3.0,2.6,0.0,Rocket League,0.8579652125198836,98.59154929577466
17,half_life_2,150,12.0,,,,,,,,,1.0,0.0,Half-Life 2,-0.07203530397391118,80.0
17,half_life_2,0,13.0,,,,,,,,,5.0,1.0,Half-Life 2,0.22763156055755984,86.66666666666667
17,half_life_2,225,12.0,,,,,,,,,1.0,0.0,Half-Life 2,-0.07203530397391118,80.0
17,half_life_2,75,15.0,,,,,,,,,3.0,1.0,Half-Life 2,0.8269652896205019,100.0
17,fitts_law,75,4.325126235810734,961.6473684210526,950.2,4.325126235810734,19.0,,,,,2.7,0.0,Fitts Law,0.7759143831179991,72.16513433434511
17,fitts_law,150,3.054078615156607,1307.0533333333333,1089.8,3.054078615156607,15.0,,,,,2.0,0.0,Fitts Law,-0.299546624761497,50.957586325596395
17,fitts_law,225,2.4596792095358353,1628.8538461538462,1426.5,2.4596792095358353,13.0,,,,,1.0,0.0,Fitts Law,-0.8024808763695571,41.03997684642767
17,fitts_law,0,5.993373774892708,731.8333333333333,692.55,5.993373774892708,30.0,,,,,5.0,1.0,Fitts Law,2.1874548719395457,100.0
17,feeding_frenzy,225,200.0,,,,,,,,,2.2,0.0,Feeding Frenzy,-0.8168554970110771,16.260162601626014
17,feeding_frenzy,150,500.0,,,,,,,,,3.0,1.0,Feeding Frenzy,0.018564897659342713,40.65040650406504
17,feeding_frenzy,0,1230.0,,,,,,,,,5.0,1.0,Feeding Frenzy,2.051421191357364,100.0
17,feeding_frenzy,75,1150.0,,,,,,,,,4.0,1.0,Feeding Frenzy,1.8286424194452524,93.4959349593496
18,dave_the_diver,225,3.9,,,,,,,,,3.5,1.0,Dave the Diver,1.4280717500625464,100.0
18,dave_the_diver,150,2.9,,,,,,,,,5.0,1.0,Dave the Diver,0.5748852137520634,74.35897435897436
18,dave_the_diver,75,1.8,,,,,,,,,5.0,1.0,Dave the Diver,-0.3636199761894678,46.15384615384615
18,dave_the_diver,0,2.5,,,,,,,,,5.0,1.0,Dave the Diver,0.23361059922787028,64.1025641025641
18,half_life_2,225,13.0,,,,,,,,,1.0,0.0,Half-Life 2,0.22763156055755984,76.47058823529412
18,half_life_2,150,12.0,,,,,,,,,1.5,0.0,Half-Life 2,-0.07203530397391118,70.58823529411765
18,half_life_2,0,17.0,,,,,,,,,5.0,1.0,Half-Life 2,1.4262990186834439,100.0
18,half_life_2,75,15.0,,,,,,,,,2.5,0.0,Half-Life 2,0.8269652896205019,88.23529411764706
18,fitts_law,0,5.607079639118506,717.0103448275862,671.3,5.607079639118506,29.0,,,,,5.0,1.0,Fitts Law,1.8606030106506195,100.0
